#3,Observation,Not an observation,mech/seal leaking pump #3 mini
needs to be rebuilt,Observation,Minor in-service problems,versicol pump needs to be rebuilt no 2
needs to be replaced,Observation,Breakdown,breedle hose holed needs to be replaced   piping strainer needs to be replaced   belts needs to be replaced
needs tuning,Observation,Minor in-service problems,vsd needs tuning somehow electrical
new,Observation,Not an observation,haz pump pump. needs new poly piping.
nft,Observation,Not an observation,nft to final line chain bv south leach
no,Observation,Not an observation,no belts on pump   no amps reading on dcs   no field start.   for valve no pump   no dcs feedback pump   no flow on dcs   haz no covers on eye wash station   replace no contacts on   no power pump   no static earth to pump   no lights in sub 3 phases   no power in pump   haz 2 discharge valves no handels   wld valve no pump requires
no belt,Observation,Minor in-service problems,pump appears to have no belt   red claves sump pump ( no belts )
no earth,Observation,Electrical,haz - no earth from gland to motor   haz elec equip in lfb with no earths
no fill,Observation,Minor in-service problems,no fill point on pump
no flow,Observation,Plugged / choked,dpr 5 inspect bore no flow (rsh)
no guarding,Observation,Minor in-service problems,haz no guarding covering rotating shaft.
no indication,Observation,Minor in-service problems,pump started but no indication
no oil movement,Observation,Plugged / choked,south side has no oil movement
no out put,Observation,Plugged / choked,no out put. not pumping
no output,Observation,Plugged / choked,02833g feed vortex no output   no output to vsd- shift sparky advised
no phase,Observation,Other,jdi pump no phase light
no power,Observation,Electrical,no power   no power to vsd   repair no power to nf antiscalla   vsd has no power   vsd screen has no power   no power to both 6a& b   no power to vsd/pump   no power to vsd unit at present   pump has no power pump   vsd no power   no power to comms panel dpr 5   investigate no power to pump   no power to pump   pump no power
"no power,",Observation,Electrical,"no power, power poles burnt down"
no pressure,Observation,Plugged / choked,pump runs but no pressure   pump no pressure
no pressure output,Observation,Plugged / choked,no pressure output
no pump,Observation,Plugged / choked,versicol pump - no pump....
no reading,Observation,Abnormal instrument reading,no reading on flow transmitter instru   no reading on flow transmitter
no reason,Observation,Not an observation,interlock on dcs no reason for it   investigate pump tripping for no reason
no run indication,Observation,Abnormal instrument reading,no run indication on dcs
no seal,Observation,Minor in-service problems,jdi - pump has no seal water
no sightglass/,Observation,Minor in-service problems,pump has no sightglass/ breather
no signal,Observation,Abnormal instrument reading,electrical no signal to dcs for amps
no speed control?,Observation,Abnormal instrument reading,scope no speed control?
no starting issue,Observation,Failure to start on demand,investigate no starting issue
no static,Observation,Abnormal instrument reading,haz no static earth on pump sump)
noise,Observation,Noise,check for noise on earth   investigate noise from pump   oxy sump pump growling noise   pump noise on fan on motor   noise from pump trips on overload
noisy,Observation,Noise,"$ pump very noisy and housing leaks.   drive motor bearing noisy install p   suction check valve noisy   bearing noisey   smoking hot and noisy   pump noisy & vibration   pump very noisy and leaks from seal   is very noisy   sump pump noisy & grinding.   very noisey pump pump   19a very noisy pump end bearings gone   running hot and noisey   replace noisy cooling fan mcc   flow indication noisy   pump - noisy motor, replace motor   belts noisy and drive pulley worn out   delete replace noisy motor   reliability motor bearings noisy   please check coupling sounds noisy   replace noisy motor   pump vibrating and noisy   pump is noisey and siezed.   bearings are noisey   pump tripping on high amp,s - noisy   pump noisy and showing signs of failure   pump noisy   investigate noisy motor   pump noisey & high vibration"
noisy sce,Observation,Noise,dc mcc cooling fan noisy sce
"noisy,",Observation,Noise,"$$ gearbox noisy, please replace"
"noisy,leaking",Observation,Noise,"gearbox noisy,leaking glycol"
noisy/vibrating,Observation,Noise,motor & pump noisy/vibrating
non operational,Observation,Breakdown,vercicol pump non operational
not,Observation,Not an observation,run/ready lamps not working   te valve between 2a & 2b not
not able to maintain level,Observation,Plugged / choked,not able to maintain level in 38
not able to open,Observation,Minor in-service problems,cub valve not able to open sce
not able to pump,Observation,Plugged / choked,not able to pump flow req   not able to pump required flow
not accurate,Observation,Abnormal instrument reading,a feluwa vortex flow not accurate
not achieving,Observation,Not an observation,not achieving required production   not achieving required flows   $$ pump not achieving required flow   sce not achieving required flow   $$ not achieving required flo   - not achieving required flow   pump not achieving required flow   pump not achieving >1800   not achieving reqd production flow
not attached,Observation,Minor in-service problems,earth cable not attached to base   haz sce earthing wire not attached
not attached corroded,Observation,Minor in-service problems,haz earth cable not attached corroded
not being pumped away,Observation,Plugged / choked,sump not being pumped away
not big enough,Observation,Other,motor not big enough install 30kw motor
not cha,Observation,Not an observation,26w oil change sce pump oil not cha
not charging,Observation,Electrical,battery charger not charging
not closing,Observation,Minor in-service problems,osr pump cub suction valve not closing   $ feb 2014 knife gate not closing
not connected,Observation,Minor in-service problems,earth strap not connected to base
not connected/blanked,Observation,Minor in-service problems,haz pump discharge not connected/blanked
not controlling,Observation,Minor in-service problems,level not controlling   not controlling ph   amsul sump not controlling correctly
not covered,Observation,Minor in-service problems,expansion joints not covered
not draining,Observation,Plugged / choked,sump pump not draining lab waste water
"not earthed,",Observation,Electrical,"haz motor not earthed, motor re-lug"
not efficiant,Observation,Low output,east side piston cold not efficiant
not efficient,Observation,Low output,pump not efficient
not energising,Observation,Low output,motor not energising.
not engaging,Observation,Failure to start on demand,floats not engaging pump
not getting,Observation,Not an observation,air not getting to pump
not getting pump,Observation,Not an observation,larox not getting pump is run
not high enough,Observation,Low output,pump output not high enough.
not holding,Observation,Other,nrv not holding
not in sequence,Observation,Other,starts in local not in sequence
not keeping up,Observation,Low output,$ replace pump not keeping up with flow   not keeping up.   pump not keeping up   pump not keeping up with flow   bcsd pump not keeping up
not kicking in,Observation,Failure to start on demand,float switches not kicking in   pump not kicking in when full
not maintaining,Observation,Plugged / choked,pump not maintaining recirc flow
not maintaining pressure,Observation,Plugged / choked,booster pump not maintaining pressure
not moving,Observation,Plugged / choked,pump not moving   sump pump not moving water efficiently
not open,Observation,Minor in-service problems,$discharge valve will not open
not opening,Observation,Minor in-service problems,suction valve not opening   lmu recycle valve not opening   fc valve 04335 on leg not opening 100%
not operating,Observation,Breakdown,suspect lvl floats not operating correct   $ not operating to capacity   not operating in slow speed   valve not operating properly pump 18.04   separation pump not operating on floats   actuated suction valve not operating   storm water pump not operating
not operational,Observation,Breakdown,fault find pump not operational   vsd not operational
not performing,Observation,Breakdown,jdi pump not performing   $$ pump not performing   pump not performing   south west chamber not performing   not performing
not performing/pumping,Observation,Breakdown,19a not performing/pumping
not providing pressure,Observation,Plugged / choked,pump not providing pressure
not puming,Observation,Plugged / choked,pump not puming to capacity
not pump,Observation,Plugged / choked,feluwa not pump on west side
not pumping,Observation,Plugged / choked,pump not pumping high amps   haz - pump not pumping   sce - not pumping to capacity   pump pump not pumping   pump not pumping to full capacity   $ pump investigate pump not pumping   sump pump not pumping.   not pumping to required capacity   pump not pumping inspect / repair   acid pump not pumping.   jdi not pumping to capacity   not pumping to capacity.   pump not pumping to capaicity   not pumping check coupling   floc pump not pumping   pump not pumping to capacity.   not pumping efficiently   sump pump not pumping   sce not pumping v/well   check wet end off pump not pumping to ca   $$ eliminox pump not pumping   not pumping very well   pump not pumping to required capacity   bredel not pumping to capacity   pump running but not pumping   not pumping to required output   feluwa not pumping to capacity   $$ pump not pumping to capacity   cu precoat pump not pumping to capacity   pump is not pumping efficiently   sump not pumping   chloride bleed not pumping   north chamber shaft not pumping   versicol pump not pumping   sce pump not pumping to capacity   c feluwa nw chamber not pumping   not pumping to capacity replace i   change out pump not pumping   pump not pumping required flow   pump not pumping slurry   not pumping   dosing pump not pumping   jdi not pumping   $ pump not pumping to capacity   remove replace pump not pumping   pump 43a not pumping to design.   new eliminox pump not pumping   not pumping to capacity   mill sump not pumping   pump not pumping well   vibrating and not pumping   sump pump not pumping full rate   consumeing oil and not pumping   not pumping to sufficient capacity   $$ pump not pumping.   not pumping to capacity inspect wet end   pump not pumping at all   pump not pumping leaking seal   not pumping properly   $ not pumping   pump not pumping (d2g-22b)   not pumping to capacity - inspect/repair   filtrate pump not pumping properly   insepect wet end pump not pumping   inspect internals not pumping   pump not pumping to capicity   black sump pump not pumping   please delete not pumping to capacity   versicol not pumping   $ c feluwa not pumping correctly   pump not pumping efficiently   pump not pumping effectively.   sulpur disch pp not pumping   not pumping well   pump not pumping to capacity 2a   pump not pumping - inspect/repair   pump not pumping at all.   pump not pumping liquid away   is not pumping   nuet pit pump not pumping   not pumping to capacity (wet end repair)   pump not pumping inspect nrv   not pumping wet end inspect   $$ pump not pumping   pump not pumping to cap loose belts   inspect repair pump not pumping   not pumping.   $ pump not pumping to full capacity   not pumping pump   $ pump not pumping.   north west chamber not pumping   $ sump pump not pumping   not pumping required flow   pump not pumping to capacity 13.08.2011   $ replace pump not pumping to capacity.   pump 64b not pumping well   pump not pumping to capacity check   pump not pumping   investigate pump not pumping to capacity   pump is not pumping to capacity   - not pumping past non-return vv   level 1sump pump not pumping liquor away   pump not pumping tripping   mill sump pump not pumping   pump not pumping drive belts snaped off   not pumping to capacity and drinking oil   pump not pumping to capacity   pump not pumping - electrical
not pumping away,Observation,Plugged / choked,not pumping away   lab sump not pumping away
not pumping enough,Observation,Plugged / choked,pump not pumping enough.
not pumping enough to get,Observation,Plugged / choked,not pumping enough to get to final
not pumping issue,Observation,Plugged / choked,investigate not pumping issue   investigate not pumping issues
"not pumping,",Observation,Plugged / choked,"not pumping,"
"not pumping,no",Observation,Plugged / choked,"$ pump not pumping,no flow"
not pumping/,Observation,Plugged / choked,pump not pumping/ or bogged
not pumping/east,Observation,Plugged / choked,not pumping/east side blocked
not pumpung,Observation,Plugged / choked,pump operating but not pumpung
not reaching flow,Observation,Plugged / choked,pump not reaching flow
not reading,Observation,Abnormal instrument reading,dcs not reading drive   b feluwa flow 02833g not reading dcs   replace ammeter - not reading   continuous rinse vortex not reading flow   ammeter not reading correct cur   jdi not reading a flow   flow meter not reading   stroke sensor not reading   level sensor not reading correct level   flow meter not reading correcty   a feluwa stroke sensor not reading
not reading right,Observation,Abnormal instrument reading,ph probe 22618 not reading right
not reading/false,Observation,Abnormal instrument reading,a feluwa stroke sensor not reading/false
not ready,Observation,Not an observation,35b & 36a remote start not ready
not running,Observation,Breakdown,floc pump not running   pump not running   not running in auto   not running in remote   sump pump not running   pump not running to capacity.   not running in auto.   pump not running sparkie investigate   pump not running and smoking
not running in,Observation,Other,not running in feild
not secure,Observation,Minor in-service problems,wld discharge pipework not secure
not secured,Observation,Minor in-service problems,haz-valve handle not secured
not spinning,Observation,Minor in-service problems,7b turning but collar not spinning   motor running shaft not spinning   not spinning.
not square,Observation,Minor in-service problems,gland follower not square
not starting,Observation,Failure to start on demand,sump pump not starting when required   fault find instru not starting   pump not starting suspect elec   not starting / resetting   pump not starting from dcs   interlock 2 pump not starting   pump not starting   diesel firewater pump not starting   fault find electrical not starting   jdi pump not starting (not bogged)   not starting   investigate pump not starting   pump not starting on high level   nft pump not starting   investigate and repair not starting
not starting in sequence,Observation,Failure to start on demand,pump not starting in sequence
not stopping,Observation,Failure to stop on demand,electrical not stopping from dcs or field
not stopping at,Observation,Failure to stop on demand,pump not stopping at low level
not suitable,Observation,Other,pump not suitable
not supplying,Observation,Plugged / choked,not supplying pump fully   pump not supplying flow
not there,Observation,Minor in-service problems,hold down bolts for pump not there
not truning,Observation,Plugged / choked,pump not truning
not turn,Observation,Plugged / choked,"pump is siezed, will not turn."
not turning,Observation,Plugged / choked,pump pump not turning.   sce pump not turning-   pump not turning   investigate pump not turning   not turning   pump not turning. please rectify.   pump not turning siezed   pump impellor not turning   motor not turning
not turning restriction,Observation,Plugged / choked,pump tripping not turning restriction
not wo,Observation,Breakdown,repair mid purge flow transmitter not wo
not workin,Observation,Breakdown,gr 02832g flow meter not workin
not working,Observation,Breakdown,6c vsd fan not working.   lower leg piping not working   levell censor not working   high level float switch not working   haz - stop button not working   $ transfer pump not working   sump pump level not working   not working corectly   jdi level control not working   not working very well   stop button not working   oil contamination probe not working (   emergency stop button not working   $ check motor and vsd as not working   flow meter not working   dc pump ammeter not working at   floats not working   pump pump not working   level controller not working   motor not working   dp not working instru   $ pump not working -   pump float levell auto start not working   sump pump not working   auto make up valve not working   sump not working.   pump not working   haz - amsul sump not working in auto   run light not working   vsd not working   not working to capacity.   vacuum pulse air not working   haz sump not working   motor fan not working   level sensor not working properly   electrical run indication not working   mill 3 sump pump e stop not working   light not working diesel bowser   switch or float not working
not working on,Observation,Breakdown,dc ammeter not working on
"not working,",Observation,Breakdown,"delete pump not working, please investig"
noticed,Observation,Not an observation,cm increased noise level noticed
noyt pumping,Observation,Breakdown,$ pump has failed and is noyt pumping
of range,Observation,Not an observation,mill #1 flow meter out of range
off,Observation,Not an observation,"replace drive belts, thrown off   $drive belts have snapped & fallen off.   maint: pump sump belts have come off   repl motor, fan cvr broken off"
off),Observation,Not an observation,replace belts (worn off)
oil,Observation,Not an observation,"dc pump pump. needs oil level fitting   te sd cm- no oil level in the sight glas   als report -change out dirty oil   $pump failed, oil contamination   $ r&r issues~0b l oil pump   haz- mvr seal leaking oil"
"oil,",Observation,Not an observation,"pump. black oil, investigate."
on,Observation,Not an observation,cub pump suction spool on   - repair ready light on   maint: drive belts failed on   te s/d leaking flange on steam line   elect: pump tripping on earth leakage   wld spool for disch pipe on   -tripping on oil contamination   38t change out pw valve pump on   repalce indication lights on   ?stud sheared on volute chamber foot   jdi repair cw solenoid valve on   repair cw solinoid valve on   $e2g-26 tripping on low amps   haz.. gasket failure on basket strainer   hydra- nut loose on south piston rod   holed suction line on   haz re-gland motor on   maint: gland seal leaking on pump   mechanical seal gasket on leaking   install new run light on   wet end overhaul on   haz: c fellua suction leak on flush poin
on recycle,Observation,Not an observation,bcsd piping repalce valve on recycle
on tripping,Observation,Not an observation,"pump has seized, motor keeps on tripping   $event pump keeps on tripping"
ongoing issue,Observation,Other,ongoing issues with acid pump
only changed,Observation,Not an observation,$ 22.12.2011 - belts were only changed a
only pumping,Observation,Not an observation,only pumping to 40% capacity
only working,Observation,Not an observation,sump pump only working in local
open,Observation,Not an observation,haz jb open to water ingress   force valves open to allow purge
open on,Observation,Not an observation,swing blind open on
open/close,Observation,Not an observation,feed open/close sensor fault
open/closed,Observation,Not an observation,swing discharge blind open/closed
operating,Observation,Not an observation,$$h11 sump pump not operating
osr,Observation,Not an observation,pump/motor seized pump osr
out,Observation,Not an observation,$g2g-64a cond pump seal worn out.   haz pump spraying liqour out on road   pump jammed / bogged. trips out   flowmeter pump in white out   electrical blue phase light out   haz electrical versicol pump in white out
out change,Observation,Not an observation,cub pump sump pump out change
out of adjustment,Observation,Minor in-service problems,gland seal out of adjustment   gland out of adjustment
out of position,Observation,Minor in-service problems,bredel hose out of position
out on,Observation,Not an observation,red phase light out on
out the top,Observation,Not an observation,s/w chamber blowing oil out the top
output from,Observation,Not an observation,"bore, no output from vsd"
over,Observation,Not an observation,cuboil over heads colourometer   $ high vibration over coupling
over flowed,Observation,Leaking,env black sump over flowed
over heating,Observation,Overheating,over heating
overhual,Observation,Not an observation,wet end overhual
pass,Observation,Not an observation,suction straughman valve pass piping
passe,Observation,Not an observation,haz piping dump valve passes   suction valve passes   cub suction valve passes piping
passing,Observation,Leaking,dc moisture trap passing   cub res & passing   valve passing versicol filling bund   pump dump valve passing   38tk both suction valves passing   38 tk suction drain passing valve sce   38tk sce valve passing   valves require change out - passing   so discharge valve sce passing   piping nrv reported as passing   discharge valve pump passing   non return valve passing badly 30.01.201   cub res flush valve passing   haz isolation valve passing   residue circuit piping passing   $$ bc recycle valve passing 4150   valve passing piping   suction valves all passing   cub discharge valve passing liquor (   gland passing product   replace passing suction valve   change out passing discharge vv pump   osd discharge valve p 2159 passing   non return valve passing   pump isolation valve passing   piston seals passing   ne & se bottom nrv passing   tank passing valve sce   dump valve passing   r.v passing (c larox)   cub suction valve passing piping   maint: piping disch non-return passing   small straughman valve passing badly   $ north suction valve passing   piping discharge valve passing   $ non-return valve is passing   $ cub suction valve passing   c feluwa replace passing suction v/v   nrv passing to effluent line   sce drain valve passing   haz pump seal passing   res valves to 38 tank passing   repack stuff box seal passing badly   change out passing nrv   versicol control valve passing into bm   cub piping passing   wld ball valve passing   suction valve passing   haz gland passing red sump pump   pump psv passing on acid pump   b feluwa suction adams valve passing   feluwa x-conn valve passing   $ lmu dishcharge valves passing   cub discharge valve passing   close piping haz res auto valve passing lmu   mech seal passing / leaking   seal is passing product   discharge valves passing   $ block valve piping passing b feluwa   ball valve passing   cub ball valve passing pump   discharge drain passing.   cub valve & nrv passing   res manual valve passing p- 2177   replace 3 way valve passing   bcsd pump / 73 valves passing   38tk passing vv- piping to recirc leg   discharge valve piping passing   valve passing   dump vlave passing   cub & 34 elute valves passing   cub possibly passing valve sce   38 tk piping passing disch vv   passing filtrate from volute   valve pump passing on sump pump   non return valve is passing   bc sd replace passing drain valves   $ mechanical seal passing u/s   cub discharge valves passing   haz passing drain valve   passing valve piping to oxy   b feluwa discharge blockvalve passing   $ discharge block valves passing   replace passing drain vs 1028   outage piping product valve passing   passing versicol   tesd pump suc valve passing   38t sth disch gate valve piping passing   passing   valves passing   sce cub suction valve passing   pump passing   rv passing   suction valve passing sce   cub 2nd discharge piping passing   msd suction valves passing piping   jdi discharge drain passing   non return valve passing piping   sample straughman passing liquor   hora valve is passing   jdi drain passing on piping   passing discharge valves   valve at passing
passing excessively,Observation,Leaking,dc pump seal passing excessively
passing on,Observation,Leaking,pump valve passing on 100a pump   $ rv passing on
passing slurry,Observation,Leaking,3 way discharge valve passing slurry
passing u/,Observation,Leaking,c feluwa res block valve passing u/s   b feluwa res block valve passing u/s
passing when closed,Observation,Leaking,suction vv passing when closed piping   38 tank valve passing when closed (s-146
passing/leaking,Observation,Leaking,dc versicol cntrl valve passing/leaking
patched,Observation,Not an observation,replace patched abs line
performing,Observation,Not an observation,$replace pump - not performing
perished,Observation,Breakdown,reservoir sight glasses perished   belts have smoked up and perished
pinholed,Observation,Minor in-service problems,piping suction spool pinholed
pipe,Observation,Not an observation,remove cladding/find leak on pipe
pipework,Observation,Not an observation,haz- unsecured pipework to tank
piping,Observation,Not an observation,piping discharge drain valve   d/charge spool leaking @ piping   piping d/c spool hole post strainer   maint: non return valve passing piping   wld manifold support piping   piping replace sample point valve   $g2g-2b res flush valve passing piping   piping fit hydraulic valves to pipewo   piping replace steam line   piping discharge block valve
playing up,Observation,Other,b feluwa gearbox oil sensor playing up
playingup,Observation,Other,gland water limit switch playingup
please,Observation,Not an observation,"38t pulleys, noisy, please replace"
point,Observation,Not an observation,haz corroded/stripped lift point threads
poor,Observation,Other,investigate poor pump performance   poor performace
poor flow,Observation,Low output,$ pump jdi has poor flow   sce has poor flow
poorly supported,Observation,Minor in-service problems,haz pipe spool poorly supported
possible,Observation,Not an observation,cub possible passing valve sce
pot in backward,Observation,Minor in-service problems,strainer pot in backwards
power issue,Observation,Electrical,vsd power issues
pressing,Observation,Not an observation,pressing water tank low level switch
probe,Observation,Not an observation,pump contamination probes in alarm
problem,Observation,Other,north east chamber problems   communication problem to residue laroxs
properly,Observation,Not an observation,tyre coupling u/s not in properly
psv,Observation,Not an observation,$l5 failed psv retest
pulling very high,Observation,High output,pump pulling very high amps
pump,Observation,Not an observation,"close w/o cm-change out dirty oil pump   mech. seal leaking pump   ?packing u/s- pump 13a   blue ph light/earthing repairs pump   maint. replace noisy pump   change seal, leaking pump   needs investigating, won't pump   $$leaking pump housing / mech seal   shaft jammed/seized on pump   3"" valve seized pump   $h2g-96a replace damaged pump   maint. replace faulty pump"
pump u/,Observation,Not an observation,"maint: pump seal u/s, pump u/s."
pumping,Observation,Other,"$pump is not pumping   $east piston not pumping   pumping 20% of capacity wet end inspect   $5g-46 not pumping   $h11 sulphur pump not pumping   piping suction valve/ not pumping   32g- 1a 1b not pumping   investigate and repair pump-not pumping   $$sump pump seized and not pumping   suspected blow hose- not pumping   floc stops pumping to 18 thickener   replace diaphram, not pumping   no out put. not pumping   pumping west chamber   $pump not pumping"
pumping at high out put,Observation,High output,pumping at high out put inefficiant a
pumping efficiently,Observation,Not an observation,$$$2b feluwa not pumping efficiently   $$2a feluwa not pumping efficiently
pumping fault,Observation,Low output,pump pumping fault
pumping issue,Observation,Low output,pumping issue   inspect and repair pumping issue   fault find pumping issue
pumping to,Observation,Not an observation,$not pumping to capacity pump   $not pumping to capacity   @only pumping to 40% capacity
purge,Observation,Not an observation,mid purge flow meter
ramping up on,Observation,Not an observation,#4 versicol pump not ramping up on vsd
re,Observation,Not an observation,w/o# 413345044 needs to be re
reading,Observation,Not an observation,false level transmitter reading
reading high,Observation,Abnormal instrument reading,hp condy meter reading high.
reading inaccurate,Observation,Abnormal instrument reading,haz discharge vortex reading inaccurate
reading stuck,Observation,Abnormal instrument reading,jdi flow meter reading stuck
ready,Observation,Not an observation,ready light needs replacing   ready light needs replaceing   ready light flickering anytime
ready light,Observation,Not an observation,motor wont start. no ready light
"rebuild,casing",Observation,Not an observation,"$$pump requires rebuild,casing holed"
red,Observation,Not an observation,red claves sump pump ( no belts )
red phase,Observation,Other,hot joint - pump red phase (rsh rs
relieving too early,Observation,Other,replace rv as it is relieving too early
removed,Observation,Not an observation,haz guard removed
repack,Observation,Not an observation,bc s/d motor requires seal repack
repair,Observation,Not an observation,wld sce pump. base needs repair.
repetitive,Observation,Not an observation,rca pump repetitive failures
replace,Observation,Not an observation,$ haz -g2g-2a bearing seized replace mot
replaced,Observation,Not an observation,pump needs to have the vbelts replaced a
replacement,Observation,Not an observation,mech. seal requires replacement pump
replaci,Observation,Not an observation,$e2g-4a discharge valve requires replaci
replacing,Observation,Not an observation,"briedel hose blown, needs replacing   valve very tight, needs replacing   $motor needs replacing 17.02.2011 rudolf   blown bredel hose, needs replacing   $$38t saunders valve needs replacing   $$suction valve needs replacing   maint: drive belts need replacing   $mechanical seal needs replacing pump   strainer damaged, needs replacing"
req,Observation,Not an observation,diesel transfer pump reqs a key com
require,Observation,Not an observation,"requires a descale   valves require change out - passing   gland requires repack and wetend inspect   pump requires oil change   requires breather instalation   wld valve no pump requires   bredel hose requires replacing 51c   drive coupling requires replacing u/s   motor requires replacing, heavy rust   requires new pressure gauge   bredel hose requires replacing.   sump pump requires overhaul   mech seal requires replacing   vsd requires replacement electrical   $$ booster pump requires changeout   requires a new hose   feluwa requires drive belts   requires wet end service   requires a descale of wet end   requires new pressure gauges   su 0045 valve requires replacing   requires a re-pack stuffing box   requires new seal   floats require changing on septic system   dump valve requires replacement   requires new bredal hose   coupling requires replacement.   bredel hose requires replacing pump   motor cooing fan require fasteni   requires belt replacement   jdi requires new vacuum gauge   gland water line requires replacing   vsd requires replacement   requires new spool and drain vv   pump requires o/haul   pre shut oct 2018 scaffolding require   requires new hose   requires glycol change   replace belt requires tension / tracking   cub pump requires replacing 03.08.2011   requires suction spool refit   valve requires replacing/check gearbox   pump sleeve requires replacement   hose requires replacement   phase light require transformer   the seal requires replacing on pump   pump seal requires replacing   requires drive belt replacement   pump requires a descale.   requires belts re-it   dc pump ammeter requires replacing   north suction accumulator requires paint   jdi pump requires valve handle   pump requires new hose, losing glycol   $ pump pump requires replacement   bredel hose requires replacing   $ seal requires replcement   haz motor requires replacement   pump requires changing out"
require adjusting,Observation,Minor in-service problems,float switrches require adjusting
require changing,Observation,Minor in-service problems,belts require changing
require investigating,Observation,Minor in-service problems,pump issue require investigating
require replacing,Observation,Breakdown,motor jacking bolts require replacing   belts require replacing   pump belts require replacing   drive belts require replacing.   belts failed require replacing
require tightening,Observation,Minor in-service problems,belts require tightening
require tightening/inspecti,Observation,Minor in-service problems,belts require tightening/inspecti
required,Observation,Not an observation,pump alignment required   wld new spool required piping   replacement vsd fans required   new belts required   $ pump thermal blanket required   36a descale required   $$h11 cub volute flange facing required   tension of belts required
requires a descale,Observation,Minor in-service problems,pump requires a descale
requires attention,Observation,Minor in-service problems,$ 19b mech seal requires attention
requires clean,Observation,Minor in-service problems,conduct meter requires clean   strainer requires clean   inlet strainer requires clean
requires cleaning,Observation,Minor in-service problems,sce oil cooler requires cleaning   sj jdi sump pump requires cleaning   strainer requires cleaning   blocked strainer requires cleaning
requires de scale,Observation,Minor in-service problems,sce 36a requires de scale
requires de-scale,Observation,Minor in-service problems,sce requires de-scale   pump requires de-scale   requires de-scale
requires descale,Observation,Minor in-service problems,sce requires descale   pump requires descale   36b requires descale   requires descale
requires handle,Observation,Minor in-service problems,jdi piping requires handle
requires modifying,Observation,Minor in-service problems,chamber platform requires modifying
requires re-packing,Observation,Minor in-service problems,requires re-packing.
requires rebuild,Observation,Minor in-service problems,pump requires rebuild
requires repack,Observation,Minor in-service problems,requires repack
requires repacking,Observation,Minor in-service problems,pump requires repacking   requires repacking
requires replacement,Observation,Minor in-service problems,packing requires replacement
requires replacing,Observation,Minor in-service problems,coupling requires replacing   garflex requires replacing   gasket on suction requires replacing   pump requires replacing   shaft sleeve requires replacing   stator requires replacing   suction garflex requires replacing   pump wet end requires replacing
requires slotting,Observation,Minor in-service problems,motor base requires slotting
requires top-up/stop,Observation,Minor in-service problems,glycol requires top-up/stop leaking
restricted,Observation,Low output,res line to feluwa restricted   pump restricted   pump output restricted
resulted,Observation,Not an observation,test resulted in valve downstream found
retightening,Observation,Not an observation,te sd drive belt retightening
rinse,Observation,Not an observation,e/itech fixed hot joint rinse flow meter
ripped,Observation,Structural deficiency,diaphraghm ripped
ro,Observation,Not an observation,wld pump pump. floats faulty ro
rocking around,Observation,Vibration,sump pump is rocking around on footings
rocking voilently,Observation,Vibration,haz pump rocking voilently
rotating,Observation,Not an observation,haz exposed rotating equip
rsh,Observation,Not an observation,$dpr 1 microdrive problem rsh no vsd
rubbing,Observation,Other,motor fan guard rubbing on fan.   pullies rubbing on guard   modify guard to stop rubbing
run,Observation,Not an observation,pump runs but no pressure   haz motor runs with stop button in
run out of adjustment,Observation,Minor in-service problems,"repack gland, has run out of adjustment"
running,Observation,Not an observation,pump running on high amps scaled up   pump running on high amps need a descale   pump running but not pumping   $k2g-1 floc pump shaft not running
running dry,Observation,Other,cm grease pump bearings running dry
running fault,Observation,Other,jdi dcs running fault
running hot,Observation,Overheating,running hot and noisey   inspect pump is running hot
running too slow,Observation,Low output,pump running too slow incorrect gearbox
running when empty,Observation,Other,sump running when empty
running when sump empty,Observation,Other,sump pump running when sump empty
runs continuously,Observation,Failure to stop on demand,sump pump runs continuously   pump runs continuously /won't stop
runs for a while and trip,Observation,Electrical,pump runs for a while and trips
rupture,Observation,Structural deficiency,versicol pump diaphram rupture
ruptured,Observation,Structural deficiency,dischrge mining hose ruptured   tube has ruptured   haz bc product line ruptured
rust,Observation,Structural deficiency,"motor requires replacing, heavy rust"
rusted,Observation,Structural deficiency,haz motor cowling rusted away pump   cub gate valve piping handle rusted   motor of high er and rusted (r   bc repair badly rusted motor -   rusted motor change out   rusted ele motor fan cover   te sd pump motor slides rusted   dc haz-motor fan cover rusted away pump   dc fan cowling heavily rusted motor   haz rusted cable tray   rusted discharge valve   haz frame for stop start butons rusted
rusted away,Observation,Structural deficiency,haz motor fan guard rusted away   pump motor fan guard rusted away
rusted of,Observation,Structural deficiency,haz motor fan cover rusted of
rusted off,Observation,Structural deficiency,haz motor fan cover rusted off
rusted through,Observation,Structural deficiency,haz fan cowling rusted through   haz fan shroud rusted through
rusty,Observation,Structural deficiency,haz rusty and flexing stair tread   rusty thermoister j box and no denso
"rusty,",Observation,Structural deficiency,"jdi fan guard rusty, replace"
rv,Observation,Not an observation,sce rotable spare rv assy
s/w,Observation,Not an observation,a feluwa s/w chamber hose pin holed
scald,Observation,Not an observation,fac minor scald to right calf
scaled up,Observation,Minor in-service problems,pump running on high amps scaled up
sce,Observation,Not an observation,cm- permalube hose leaking sce
sce fault,Observation,Other,control valve sce fault
seal,Observation,Not an observation,"broken 1"" line leaking seal water   $leaking seal"
secure,Observation,Not an observation,cm secure motor with shim plates
secured,Observation,Not an observation,cable tray to pump to be secured
seize,Observation,Breakdown,cub discharge valve seize
